,atom,residue,-9,-8,-7,-6,-5,-4,-3
75,OD1,terA,-0.3676825352,-0.4100214388,-0.4229447636,-0.4276180338,-0.438927837,-0.4871377994,-0.6651376714
76,CD3,terA,-0.0787799262,-0.100554545,-0.1177244403,-0.1345084108,-0.1378650523,-0.1290672195,-0.079738547
77,CD4,terA,0.0702639203,0.0614365603,0.0629755098,0.0575185675,0.0107624736,-0.0589149795,-0.0592964784
78,CD5,terA,0.249362225,0.2694647406,0.2799156245,0.3068327234,0.3577043941,0.4594304964,0.5810620484
79,HD3,terA,0.0492245061,0.039859893,0.0334928338,0.0193269546,-0.0064293413,-0.0484930201,-0.1045655401
80,CA1,terA,0.5545648712,0.5607630815,0.5676467682,0.5807585619,0.6301743471,0.7569140114,1.0051679013
81,OA1,terA,-0.456380581,-0.4612184534,-0.4675268217,-0.4797240177,-0.5083882151,-0.585079984,-0.763321588
82,OA2,terA,-0.4262304681,-0.4398058634,-0.4525304894,-0.4691141302,-0.4970064038,-0.5788434686,-0.8256004266
83,CA2,terA,0.2664831802,0.278778324,0.2933719128,0.315665175,0.3438100679,0.3978848254,0.5591983135
84,CA3,terA,0.217370009,0.2177815013,0.2143777836,0.2075492181,0.2066309201,0.2310892114,0.3228177915
85,NA1,terA,-0.7779450741,-0.7820716457,-0.7795043548,-0.7646976867,-0.7302752591,-0.6715702593,-0.5293783075
86,HA1,terA,0.2998250878,0.3021150527,0.3031810358,0.3015483599,0.2926724659,0.2741298949,0.2144972605
87,HA2,terA,0.2870596406,0.2902469623,0.2917724337,0.2881358746,0.2774786574,0.2594417638,0.2013475399
88,CB1,terA,0.5422104929,0.5416237889,0.5428153727,0.5726145969,0.6332323902,0.7500829308,0.9982638542
89,OB1,terA,-0.4283485871,-0.4329818706,-0.4382747924,-0.4525526497,-0.4813592501,-0.5508327458,-0.7138355078
90,OB2,terA,-0.4013279263,-0.3931640261,-0.3849984742,-0.39424151,-0.4285440561,-0.5102992789,-0.7482462504
91,CB2,terA,0.2629930222,0.2659209174,0.2719152289,0.2838288164,0.3115423466,0.3737655132,0.5478396357
92,CB3,terA,0.2221315052,0.2206113012,0.2163713965,0.2106068123,0.2076097753,0.2348599287,0.3335990869
93,NB1,terA,-0.5879854295,-0.5903050824,-0.5867976007,-0.5755422864,-0.5651594444,-0.5618361375,-0.4612092782
94,HB1,terA,0.2624327553,0.2593704215,0.2557886237,0.2543299424,0.255055271,0.2530739677,0.2077753319
95,HB2,terA,0.2456495489,0.2517038142,0.2553873313,0.2577134287,0.2610909116,0.2623748521,0.22457716
96,CD6,terA,-0.1645599495,-0.1504564387,-0.1499060168,-0.1575249549,-0.16112801,-0.147914054,0.0159290422
97,HD4,terA,0.1203148111,0.1145764315,0.1125400095,0.1095331947,0.0987433449,0.0668770576,-0.0363692012
