,atom,residue,-9,-8,-7,-6,-5,-4,-3
51,CG2,OXO0,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
52,CB4,OXO0,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
53,NB2,OXO0,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
54,HB3,OXO0,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
55,HB4,OXO0,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
56,CD6,OXO0,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
57,HD4,OXO0,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
58,CC1,terA,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374
59,HC1,terA,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996
60,CC2,terA,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603
61,CC3,terA,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217
62,HC2,terA,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992
63,CC4,terA,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159
64,HC3,terA,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604
65,CC5,terA,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585
66,HC4,terA,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821
67,CC6,terA,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292
68,HC5,terA,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874
