,atom,residue,-9,-8,-7,-6,-5,-4,-3
45,HA3,OXO0,0.8155395829,0.8268420432,0.7627673828,0.6173409476,0.4692714344,0.3879064747,0.3225986851
46,HA4,OXO0,0.5613282537,0.5790625083,0.5472367153,0.4410158513,0.2680594652,0.0094886277,-0.4600761218
47,HA5,OXO0,0.7022730464,0.7311068345,0.7347756494,0.6316412887,0.4501995782,0.2810799098,0.1024039546
48,CG1,OXO0,0.6813582377,0.6637278406,0.6825804631,0.6737787458,0.7064855678,0.9397878233,1.5020903703
49,OG1,OXO0,-0.4725158552,-0.4551780734,-0.4365468947,-0.4057969784,-0.40865125,-0.5525655766,-0.9499389036
50,OG2,OXO0,-0.5806178125,-0.5602179529,-0.5522625714,-0.5497951619,-0.5757033818,-0.6558567856,-0.8797826332
51,CG2,OXO0,0.3717754299,0.3516681857,0.306229003,0.2818133946,0.2778690639,0.2686345389,0.3276311665
52,CB4,OXO0,0.2796810696,0.3243852241,0.389271615,0.3845438617,0.2943147263,0.1993583373,0.2477303007
53,NB2,OXO0,-1.0219925712,-1.1307612152,-1.2685633598,-1.2274248248,-0.9188941132,-0.4015694212,0.152319517
54,HB3,OXO0,0.3791537757,0.4132784219,0.4529255223,0.4375773847,0.3278469793,0.1020716507,-0.2397647123
55,HB4,OXO0,0.3631577259,0.3930975692,0.4263662225,0.4053035784,0.2967324077,0.1001394332,-0.1602851055
56,CD6,OXO0,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
57,HD4,OXO0,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
58,CC1,terA,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374
59,HC1,terA,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996
60,CC2,terA,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603
61,CC3,terA,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217
62,HC2,terA,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992
63,CC4,terA,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159
64,HC3,terA,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604
65,CC5,terA,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585
66,HC4,terA,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821
67,CC6,terA,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292
68,HC5,terA,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874
69,CC7,terA,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063
70,HC6,terA,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049
71,CD1,terA,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
72,HD1,terA,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
73,CD2,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
74,HD2,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
75,OD1,terA,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584
76,CD3,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
77,CD4,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
78,CD5,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
79,HD3,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
80,CA1,terA,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
81,OA1,terA,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
