,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
46,HA2,OXO0,0.2812731067,0.2852230508,0.2863403329,0.2796751605,0.2574173269,0.2077160621,0.1115061122,-0.082714519
47,CB1,OXO0,0.6275642612,0.6359009803,0.6454087501,0.6564734557,0.682888185,0.7595652328,0.9757008635,1.4589479573
48,OB1,OXO0,-0.4899947633,-0.4948197966,-0.5008080903,-0.5089484538,-0.5280096948,-0.5812425229,-0.7316650628,-1.0803493958
49,OB2,OXO0,-0.4203331184,-0.4289007014,-0.4360608857,-0.4381944989,-0.4380944872,-0.4523329215,-0.5331635352,-0.7870128551
50,CB2,OXO0,0.2827636205,0.2878195177,0.2914602259,0.2906694971,0.283215997,0.2740102116,0.2891277345,0.4084142936
51,CB3,OXO0,0.1827570181,0.1870843612,0.1921566897,0.198688991,0.2101825018,0.2404598616,0.3290349971,0.5428178873
52,NB1,OXO0,-0.7467438967,-0.7581382065,-0.7636020776,-0.7539286501,-0.7187295431,-0.6482824423,-0.5423001953,-0.368572819
53,HB1,OXO0,0.2827137719,0.2858307945,0.285105055,0.2755644985,0.2511297144,0.2001065185,0.1017590861,-0.0915305494
54,HB2,OXO0,0.2812731067,0.2852230508,0.2863403329,0.2796751605,0.2574173269,0.2077160621,0.1115061122,-0.082714519
55,CD6,OXO0,-0.1136821854,-0.1102060619,-0.1032508246,-0.0876845016,-0.0596907503,-0.0201164721,0.0447174054,0.2181684801
56,HD4,OXO0,0.1136821854,0.1102060619,0.1032508246,0.0876845016,0.0596907503,0.0201164721,-0.0447174054,-0.2181684801
57,CC1,terA,-0.180936273,-0.1759362769,-0.1602834952,-0.1266627252,-0.0784703589,-0.0205690431,0.0893145975,0.3645639558
58,HC1,terA,0.1209189855,0.1171085918,0.1093028762,0.0938361883,0.0698927144,0.0383642399,-0.0208686977,-0.1922578971
59,CC2,terA,0.1255328702,0.1255893724,0.1118381213,0.0853407461,0.06057703,0.0484424075,0.0208409264,-0.0196974594
60,CC3,terA,-0.2094230666,-0.2105050224,-0.2014945424,-0.1878665556,-0.1786295454,-0.1651621255,-0.1093196377,0.0285938026
61,HC2,terA,0.143907484,0.1437433351,0.1406370401,0.1353523465,0.1266301599,0.0989245212,0.0200328114,-0.1812024018
62,CC4,terA,-0.0499158825,-0.0455609247,-0.0441088999,-0.038558833,-0.0099640976,0.0716171811,0.2170463302,0.4752929287
63,HC3,terA,0.1030514493,0.0989665664,0.0919120399,0.0777393571,0.0450668647,-0.0281529725,-0.1601004548,-0.3910452017
64,CC5,terA,-0.1922057835,-0.1876453811,-0.1710951306,-0.1412788248,-0.0981574928,-0.0311339483,0.095553343,0.3279681656
65,HC4,terA,0.1390702168,0.1342397394,0.1232919906,0.1020983006,0.0630547257,-0.0123302603,-0.1524992183,-0.4122158926
66,CC6,terA,-0.116270075,-0.1057907455,-0.0978043685,-0.0855177581,-0.063012034,-0.0239595555,0.0371372399,0.1777276324
67,HC5,terA,0.1210531683,0.1150848396,0.1065277763,0.0908907919,0.0608047912,0.0018393175,-0.1090299423,-0.3474932609
68,CC7,terA,-0.1091864978,-0.1146410156,-0.1138983429,-0.1092749001,-0.0936156227,-0.0403231307,0.089614861,0.3465382593
69,HC6,terA,0.1044034045,0.1053469214,0.1051749351,0.1039018664,0.0958228656,0.0624433687,-0.0177221586,-0.1767726308
70,CD1,terA,-0.1136821854,-0.1102060619,-0.1032508246,-0.0876845016,-0.0596907503,-0.0201164721,0.0447174054,0.2181684801
71,HD1,terA,0.1136821854,0.1102060619,0.1032508246,0.0876845016,0.0596907503,0.0201164721,-0.0447174054,-0.2181684801
72,CD2,terA,-0.1105478347,-0.0938917805,-0.0654390139,-0.0104478435,0.0761053253,0.1864909743,0.3712167678,0.6994306878
73,HD2,terA,0.1340814215,0.129689378,0.1228417594,0.1077119027,0.0809609739,0.0453954258,-0.017011094,-0.1626548614
74,OD1,terA,-0.1696628936,-0.1797461569,-0.1973754993,-0.2318901412,-0.2849731617,-0.3516790136,-0.4716130446,-0.7285145206
