,atom,residue,-9,-8,-7,-6,-5,-4,-3
45,HA3,OXO0,2.069149885,1.8691171171,1.5337079879,1.0582713728,0.6556469581,0.4815174647,0.4190406148
46,HA4,OXO0,1.5891508345,1.5023011322,1.3194044891,0.9693885602,0.5784066671,0.2772539898,-0.0497706613
47,HA5,OXO0,1.9004454628,1.7319315671,1.436005299,1.0221380589,0.6487943203,0.4387873948,0.2771235026
48,CG1,OXO0,1.1933853088,1.097502165,0.9941396841,0.8838468192,0.8171693466,0.9723919776,1.5275634262
49,OG1,OXO0,-0.7259389925,-0.6698517483,-0.6054271301,-0.5374532709,-0.4941257823,-0.5993563334,-0.9958773832
50,OG2,OXO0,-0.7313010053,-0.7067376107,-0.6723294217,-0.600333664,-0.4909027806,-0.4681661047,-0.6826069104
51,CG2,OXO0,0.2314938763,0.2406977313,0.2416304416,0.2187230173,0.1629282999,0.1526397031,0.30095451
52,CB4,OXO0,1.2470159008,1.1877072817,1.0625515035,0.8464746079,0.5842290255,0.3880168747,0.3543796013
53,NB2,OXO0,-5.7734012705,-5.2526676354,-4.3096828535,-2.8610555014,-1.4621460547,-0.6430849666,-0.1508067
54,HB3,OXO0,2.069149885,1.8691171171,1.5337079879,1.0582713728,0.6556469581,0.4815174647,0.4190406148
55,HB4,OXO0,1.5891508345,1.5023011322,1.3194044891,0.9693885602,0.5784066671,0.2772539898,-0.0497706613
56,HB5,OXO0,1.9004454628,1.7319315671,1.436005299,1.0221380589,0.6487943203,0.4387873948,0.2771235026
57,CD6,OXO0,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
58,HD4,OXO0,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
59,CC1,terA,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374,-0.2496394374
60,HC1,terA,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996,0.1239526996
61,CC2,terA,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603,0.2658889603
62,CC3,terA,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217,-0.3168787217
63,HC2,terA,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992,0.1766764992
64,CC4,terA,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159,0.0208044159
65,HC3,terA,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604,0.0897727604
66,CC5,terA,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585,-0.2729969585
67,HC4,terA,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821,0.1624197821
68,CC6,terA,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292,-0.0557783292
69,HC5,terA,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874,0.1120090874
70,CC7,terA,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063
71,HC6,terA,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049
72,CD1,terA,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
73,HD1,terA,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
74,CD2,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
75,HD2,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
76,OD1,terA,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584
77,CD3,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
78,CD4,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
79,CD5,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
80,HD3,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
81,CA1,terA,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
